id_venta|id_producto|cantidad|total|fecha_venta|id_cliente|nombre_cliente|medio_pago|producto|categoria|precio|email|ciudad|fecha_alta_cli
1|90|1|2902|2024-06-19|62|GUADALUPE ROMERO|1|TOALLAS HÚMEDAS X50|0|2902|GUADALUPE.ROMERO@MAIL.COM|0|2023-03-03
2|82|5|11970|2024-03-17|49|OLIVIA GOMEZ|2|ACEITUNAS NEGRAS 200G|1|2394|OLIVIA.GOMEZ@MAIL.COM|1|2023-02-18
2|39|5|2345|2024-03-17|49|OLIVIA GOMEZ|2|HELADO VAINILLA 1L|1|469|OLIVIA.GOMEZ@MAIL.COM|1|2023-02-18
2|70|2|8122|2024-03-17|49|OLIVIA GOMEZ|2|FERNET 750ML|1|4061|OLIVIA.GOMEZ@MAIL.COM|1|2023-02-18
2|22|1|2069|2024-03-17|49|OLIVIA GOMEZ|2|MEDIALUNAS DE MANTECA|1|2069|OLIVIA.GOMEZ@MAIL.COM|1|2023-02-18
2|79|4|9680|2024-03-17|49|OLIVIA GOMEZ|2|HAMBURGUESAS CONGELADAS X4|1|2420|OLIVIA.GOMEZ@MAIL.COM|1|2023-02-18
3|9|2|7756|2024-01-13|20|TOMAS ACOSTA|1|YERBA MATE SUAVE 1KG|1|3878|TOMAS.ACOSTA@MAIL.COM|1|2023-01-20
3|2|2|9946|2024-01-13|20|TOMAS ACOSTA|1|PEPSI 1.5L|1|4973|TOMAS.ACOSTA@MAIL.COM|1|2023-01-20
3|85|1|1856|2024-01-13|20|TOMAS ACOSTA|1|JUGO EN POLVO NARANJA|1|1856|TOMAS.ACOSTA@MAIL.COM|1|2023-01-20
4|4|2|4066|2024-02-27|36|MARTINA MOLINA|3|FANTA NARANJA 1.5L|1|2033|MARTINA.MOLINA@MAIL.COM|2|2023-02-05
4|23|5|11900|2024-02-27|36|MARTINA MOLINA|3|BIZCOCHOS SALADOS|1|2380|MARTINA.MOLINA@MAIL.COM|2|2023-02-05
5|86|4|16360|2024-06-11|56|BRUNO DIAZ|1|JUGO EN POLVO LIMÓN|1|4090|BRUNO.DIAZ@MAIL.COM|1|2023-02-25
6|25|2|8030|2024-05-05|91|UMA SANCHEZ|3|GALLETITAS VAINILLA|1|4015|UMA.SANCHEZ@MAIL.COM|2|2023-04-01
6|31|3|10227|2024-05-05|91|UMA SANCHEZ|3|MIX DE FRUTOS SECOS 200G|1|3409|UMA.SANCHEZ@MAIL.COM|2|2023-04-01
6|83|1|1830|2024-05-05|91|UMA SANCHEZ|3|QUESO UNTABLE 190G|1|1830|UMA.SANCHEZ@MAIL.COM|2|2023-04-01
6|59|4|14448|2024-05-05|91|UMA SANCHEZ|3|CHICLE MENTA|1|3612|UMA.SANCHEZ@MAIL.COM|2|2023-04-01
7|63|3|13011|2024-05-06|92|MARIANA RODRIGUEZ|0|GRANOLA 250G|1|4337|MARIANA.RODRIGUEZ@MAIL.COM|3|2023-04-02
8|53|5|8320|2024-01-06|66|TOMAS HERRERA|3|LAVANDINA 1L|0|1664|TOMAS.HERRERA@MAIL.COM|4|2023-03-07
8|18|4|13776|2024-01-06|66|TOMAS HERRERA|3|QUESO RALLADO 150G|1|3444|TOMAS.HERRERA@MAIL.COM|4|2023-03-07
8|68|5|13420|2024-01-06|66|TOMAS HERRERA|3|VINO BLANCO 750ML|1|2684|TOMAS.HERRERA@MAIL.COM|4|2023-03-07
9|65|4|9692|2024-01-20|86|DIEGO TORRES|0|CERVEZA RUBIA 1L|1|2423|DIEGO.TORRES@MAIL.COM|5|2023-03-27
10|36|2|5118|2024-05-28|52|DIEGO DIAZ|2|DULCE DE LECHE 400G|1|2559|DIEGO.DIAZ@MAIL.COM|1|2023-02-21
10|100|4|19416|2024-05-28|52|DIEGO DIAZ|2|TRAPO DE PISO|0|4854|DIEGO.DIAZ@MAIL.COM|1|2023-02-21
10|37|3|9588|2024-05-28|52|DIEGO DIAZ|2|MERMELADA DE DURAZNO 400G|1|3196|DIEGO.DIAZ@MAIL.COM|1|2023-02-21
10|62|1|3848|2024-05-28|52|DIEGO DIAZ|2|STEVIA 100 SOBRES|1|3848|DIEGO.DIAZ@MAIL.COM|1|2023-02-21
11|13|1|2383|2024-04-10|20|TOMAS ACOSTA|2|TÉ VERDE 20 SAQUITOS|1|2383|TOMAS.ACOSTA@MAIL.COM|1|2023-01-20
11|65|2|4846|2024-04-10|20|TOMAS ACOSTA|2|CERVEZA RUBIA 1L|1|2423|TOMAS.ACOSTA@MAIL.COM|1|2023-01-20
11|28|1|936|2024-04-10|20|TOMAS ACOSTA|2|PAPAS FRITAS CLÁSICAS 100G|1|936|TOMAS.ACOSTA@MAIL.COM|1|2023-01-20
12|72|2|7752|2024-06-28|96|ROCIO GONZALEZ|0|RON 700ML|1|3876|ROCIO.GONZALEZ@MAIL.COM|5|2023-04-06
12|50|2|1454|2024-06-28|96|ROCIO GONZALEZ|0|AZÚCAR 1KG|1|727|ROCIO.GONZALEZ@MAIL.COM|5|2023-04-06
12|56|3|7596|2024-06-28|96|ROCIO GONZALEZ|0|PAPEL HIGIÉNICO X4|0|2532|ROCIO.GONZALEZ@MAIL.COM|5|2023-04-06
12|87|3|5037|2024-06-28|96|ROCIO GONZALEZ|0|SOPA INSTANTÁNEA POLLO|1|1679|ROCIO.GONZALEZ@MAIL.COM|5|2023-04-06
12|38|4|6336|2024-06-28|96|ROCIO GONZALEZ|0|MERMELADA DE FRUTILLA 400G|1|1584|ROCIO.GONZALEZ@MAIL.COM|5|2023-04-06
13|87|1|1679|2024-01-24|6|UMA MEDINA|1|SOPA INSTANTÁNEA POLLO|1|1679|UMA.MEDINA@MAIL.COM|4|2023-01-06
13|81|3|7560|2024-01-24|6|UMA MEDINA|1|ACEITUNAS VERDES 200G|1|2520|UMA.MEDINA@MAIL.COM|4|2023-01-06
13|13|1|2383|2024-01-24|6|UMA MEDINA|1|TÉ VERDE 20 SAQUITOS|1|2383|UMA.MEDINA@MAIL.COM|4|2023-01-06
14|36|4|10236|2024-04-18|67|IVANA ROMERO|2|DULCE DE LECHE 400G|1|2559|IVANA.ROMERO@MAIL.COM|3|2023-03-08
14|72|5|19380|2024-04-18|67|IVANA ROMERO|2|RON 700ML|1|3876|IVANA.ROMERO@MAIL.COM|3|2023-03-08
14|38|3|4752|2024-04-18|67|IVANA ROMERO|2|MERMELADA DE FRUTILLA 400G|1|1584|IVANA.ROMERO@MAIL.COM|3|2023-03-08
14|97|1|872|2024-04-18|67|IVANA ROMERO|2|LIMPIAVIDRIOS 500ML|0|872|IVANA.ROMERO@MAIL.COM|3|2023-03-08
15|37|3|9588|2024-06-27|56|BRUNO DIAZ|3|MERMELADA DE DURAZNO 400G|1|3196|BRUNO.DIAZ@MAIL.COM|1|2023-02-25
16|35|5|22150|2024-04-12|2|NICOLAS ROJAS|0|BARRITA DE CEREAL 30G|1|4430|NICOLAS.ROJAS@MAIL.COM|0|2023-01-02
17|81|5|12600|2024-02-17|88|FELIPE CASTRO|0|ACEITUNAS VERDES 200G|1|2520|FELIPE.CASTRO@MAIL.COM|4|2023-03-29
17|46|5|15180|2024-02-17|88|FELIPE CASTRO|0|LENTEJAS SECAS 500G|1|3036|FELIPE.CASTRO@MAIL.COM|4|2023-03-29
17|74|3|8859|2024-02-17|88|FELIPE CASTRO|0|WHISKY 750ML|1|2953|FELIPE.CASTRO@MAIL.COM|4|2023-03-29
18|33|2|2510|2024-06-11|81|CAMILA RUIZ|2|CHOCOLATE CON LECHE 100G|1|1255|CAMILA.RUIZ@MAIL.COM|0|2023-03-22
18|4|5|10165|2024-06-11|81|CAMILA RUIZ|2|FANTA NARANJA 1.5L|1|2033|CAMILA.RUIZ@MAIL.COM|0|2023-03-22
18|24|2|2610|2024-06-11|81|CAMILA RUIZ|2|GALLETITAS CHOCOLATE|1|1305|CAMILA.RUIZ@MAIL.COM|0|2023-03-22
18|15|3|7614|2024-06-11|81|CAMILA RUIZ|2|LECHE DESCREMADA 1L|1|2538|CAMILA.RUIZ@MAIL.COM|0|2023-03-22
18|22|5|10345|2024-06-11|81|CAMILA RUIZ|2|MEDIALUNAS DE MANTECA|1|2069|CAMILA.RUIZ@MAIL.COM|0|2023-03-22
19|38|2|3168|2024-06-11|80|GAEL RUIZ|0|MERMELADA DE FRUTILLA 400G|1|1584|GAEL.RUIZ@MAIL.COM|2|2023-03-21
19|98|3|8529|2024-06-11|80|GAEL RUIZ|0|DESENGRASANTE 500ML|0|2843|GAEL.RUIZ@MAIL.COM|2|2023-03-21
19|63|3|13011|2024-06-11|80|GAEL RUIZ|0|GRANOLA 250G|1|4337|GAEL.RUIZ@MAIL.COM|2|2023-03-21
20|32|3|6702|2024-01-13|75|SANTIAGO CASTRO|1|CHOCOLATE AMARGO 100G|1|2234|SANTIAGO.CASTRO@MAIL.COM|1|2023-03-16
21|76|5|21430|2024-06-19|10|KARINA ACOSTA|3|PIZZA CONGELADA MUZZARELLA|1|4286|KARINA.ACOSTA@MAIL.COM|5|2023-01-10
21|35|1|4430|2024-06-19|10|KARINA ACOSTA|3|BARRITA DE CEREAL 30G|1|4430|KARINA.ACOSTA@MAIL.COM|5|2023-01-10
22|9|2|7756|2024-05-08|64|JULIAN ALVAREZ|3|YERBA MATE SUAVE 1KG|1|3878|JULIAN.ALVAREZ@MAIL.COM|4|2023-03-05
22|28|3|2808|2024-05-08|64|JULIAN ALVAREZ|3|PAPAS FRITAS CLÁSICAS 100G|1|936|JULIAN.ALVAREZ@MAIL.COM|4|2023-03-05
22|24|4|5220|2024-05-08|64|JULIAN ALVAREZ|3|GALLETITAS CHOCOLATE|1|1305|JULIAN.ALVAREZ@MAIL.COM|4|2023-03-05
23|64|4|15812|2024-05-16|78|EMILIA ALVAREZ|3|AVENA INSTANTÁNEA 250G|1|3953|EMILIA.ALVAREZ@MAIL.COM|4|2023-03-19
23|83|4|7320|2024-05-16|78|EMILIA ALVAREZ|3|QUESO UNTABLE 190G|1|1830|EMILIA.ALVAREZ@MAIL.COM|4|2023-03-19
24|91|2|9380|2024-06-14|55|OLIVIA RUIZ|1|DESODORANTE AEROSOL|0|4690|OLIVIA.RUIZ@MAIL.COM|2|2023-02-24
24|40|5|6075|2024-06-14|55|OLIVIA RUIZ|1|HELADO CHOCOLATE 1L|1|1215|OLIVIA.RUIZ@MAIL.COM|2|2023-02-24
25|55|1|1407|2024-04-30|13|IVANA SANCHEZ|3|SHAMPOO 400ML|0|1407|IVANA.SANCHEZ@MAIL.COM|0|2023-01-13
25|95|5|7905|2024-04-30|13|IVANA SANCHEZ|3|MASCARILLA CAPILAR|0|1581|IVANA.SANCHEZ@MAIL.COM|0|2023-01-13
